Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Forever_New_Adults-Women_Women_Cream_Fashion_Summer_2011_Casual_Blended_Garment_Measurements_in_Jack,0.978852837170818,0.973178478199601,0.988351140188186,0.00557693983942325,0.971502540947817,0.956243971872151,0.9851179631848,0.0108374415439602
Femella_Adults-Women_Women_Blue_Fashion_Summer_2017_Casual_Garment_Measurements_in_Nightdress_Appare,0.968567457027971,0.957694652317094,0.976910743020373,0.00755954251081862,0.954759338802836,0.944162053644119,0.968989140626167,0.00806111769219338
Arrow_Adults-Men_Men_Black_Fashion_Summer_2012_Formal_Formal_Shoes_Footwear_Shoes,0.974161911656793,0.958452330628696,0.985427044471999,0.00873301515398451,0.981378039967678,0.963707592600057,0.988883180896292,0.00899638349961094
United_Colors_of_Benetton_Adults-Women_Women_Lavender_Fashion_Summer_2011_Casual_Scarves_Accessories,0.984005066025515,0.979538313027765,0.987118931067888,0.0026482308808184,0.97648767377829,0.970025471988776,0.983430328894675,0.00545990571612418
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Sports_Sports_Shoes_Footwear_Shoes,0.970321144171858,0.95983049930251,0.977921902618062,0.00627102835694748,0.965165047362105,0.951534789375938,0.982156538784967,0.00997159329467435
Fossil_Adults-Women_Women_Grey_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets,0.970137757189958,0.966441795709604,0.974249402523695,0.00345813195895518,0.967877299746906,0.958677937258254,0.978610148718391,0.00686943544890745
ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts,0.944145696569505,0.929715490035457,0.962417086951188,0.0107551846391577,0.953924151653968,0.940649945077099,0.965853518746469,0.00939505769766091
Gini_and_Jony_Kids-Boys_Boys_Yellow_Fashion_Summer_2012_Casual_Regular_Fit_Solid_Garment_Measurement,0.988174802907422,0.983228533908213,0.991189140027292,0.00300602209389696,0.987887783067414,0.98433071839109,0.99111066639935,0.00233209665879424
U.S._Polo_Assn._Adults-Men_Men_Navy_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measur,0.954885658011136,0.946465548793971,0.962001840955825,0.00514309413483605,0.959576309243008,0.939958116447873,0.972360692552712,0.0110453211660599
French_Connection_Adults-Women_Women_Maroon_Fashion_Summer_2012_Casual_Clutches_Accessories_Bags,0.963466760305963,0.957548578947355,0.968082711558851,0.00346555627298837,0.955186878467344,0.935929761454839,0.969566682330712,0.0120122267450086
Catwalk_Adults-Women_Women_Green_Fashion_Winter_2015_Casual_Sandals_Open_Toe_Ankle_Loop_Casual_Block,0.965015526277544,0.961493222217628,0.970656461237947,0.00354417875443043,0.961784053018156,0.955483433333563,0.970773257050733,0.00497634333677781
Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles,0.955622158060148,0.94448727599939,0.964310038458975,0.0063775150711251,0.956286034680801,0.951668032829259,0.962001554957984,0.00442255641122985
Little_Miss_Adults-Women_Women_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurement,0.960785052365227,0.940463700839107,0.971994339143953,0.0110003397937696,0.969542666773181,0.963044903574865,0.974841816993112,0.0046274723251556
,0.967549371364604,0.958349109225107,0.975433137094172,0.00596452149701167,0.966258293654577,0.955032055988299,0.976438114625874,0.00761591934893518
