Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Lotto_Adults-Men_Men_Black_Fashion_Summer_2010_Casual_Flip_Flops_Footwear_Flip_Flops,0.979866371428522,0.967944224356206,0.985106983537178,0.00630807139991926,0.978786745274806,0.970343603030787,0.985742586689075,0.00512342898515931
FILA_Adults-Men_Men_Black_Fashion_Summer_2011_Casual_Casual_Shoes_Footwear_Shoes,0.958088902244639,0.955105820373961,0.966149313879513,0.00412147709985612,0.955700453588681,0.932788445544181,0.966069029683782,0.0118869776210268
DIVA_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_Garment_Measurements_in_Short_Sleeves_Round,0.964407043410332,0.954905996201582,0.971054015606702,0.00589349543951774,0.960472714339629,0.941191030382289,0.967627230595677,0.00981397518029483
maxima_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Water_Resistant_Analogue_Watches_Accessor,0.942708529353353,0.880716126679655,0.980297580166977,0.0334727686912602,0.951354468758214,0.924203829150094,0.98653619795624,0.0244486137415046
Q&Q_Kids-Unisex_Unisex_White_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts,0.980143635511461,0.976595335078368,0.986229544240191,0.00362880016333225,0.979741050017472,0.974660966489362,0.983697163475862,0.00401773817384365
Wrangler_Adults_Women_Yellow_Fashion_Summer_2012_Casual_Opaque_Roll-Up_Sleeves_Casual_New_Basics_Ver,0.972928989235594,0.95814033806506,0.983090480032767,0.00906062068676482,0.970884871666006,0.961004363769268,0.976939016443249,0.00583013304958428
Baggit_Adults-Women_Women_Red_Fashion_Fall_2012_Casual_Sling_Bag_Synthetic_Handbags_Accessories_Bags,0.932509163816373,0.881952168463881,0.96878091420883,0.0383548708744236,0.956254209653475,0.937834961554687,0.970317037544537,0.0111664017975569
Enroute_Teens_Kids-Boys_Boys_Black_Fashion_Summer_2012_Casual_Driving_Shoes_Casual_Shoes_Footwear_Sh,0.978353910937035,0.970204358121139,0.989310841089221,0.00625903869718037,0.975571505730273,0.962515455352109,0.985784800595549,0.00749161622822155
DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca,0.984952233935923,0.973144603243888,0.99239578013315,0.00724579877178127,0.975326816763348,0.943129247011618,0.987738494993821,0.0162922352564875
Aneri_Adults-Women_Women_Multi_Fashion_Summer_2012_Ethnic_Garment_Measurements_in_Three-Quarter_Slee,0.96933204463296,0.961564830169551,0.97379033476224,0.00451781568553014,0.966295018636657,0.959217679087227,0.974170819038017,0.00535489896234838
Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets,0.933724840663968,0.853736880635621,0.982214819253792,0.0438742582332751,0.934950066458897,0.895939345478534,0.972669303266539,0.0267245099972218
Gini_and_Jony_Kids-Boys_Boys_White_Fashion_Summer_2012_Casual_Printed_Garment_Measurements_in_Short_,0.990543657206876,0.989781306229263,0.991285462173533,0.000596975478805339,0.983584646934521,0.965703510068639,0.9896573164482,0.0089986011549276
Flying_Machine_Adults-Women_Women_Black_Fashion_Summer_2012_Casual_Loose_Fit_Solid_To-Fit_Denotes_Bo,0.960965047698448,0.952149015473273,0.967118388589266,0.00571256624801824,0.95902367712752,0.947834526214571,0.972445680623798,0.00908757038040539
Puma_Adults-Women_Women_White_Fashion_Summer_2011_Sports_NA_3_months_NA_Synthetic_Medium_Running_No_,0.981825346268114,0.979797124337153,0.984506596603634,0.00155738141797773,0.984595230182608,0.97898989011652,0.991164098944954,0.00491181005099092
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_S,0.95647693675909,0.938047117981643,0.9672266376323,0.0103144772439667,0.960056051925685,0.949571655920753,0.969982665457127,0.00800675251282266
,0.965788443540179,0.946252349694016,0.97923717946062,0.0120612277421073,0.966173168470519,0.949661900611376,0.978702762783762,0.0106103508728264
